I0723 14:12:48.024871       1 client.go:492] "Exiting remoteToProxy" connectionID=5
E0723 14:12:48.025118       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:37350->10.244.0.5:4443: use of closed network connection" connectionID=5
I0723 14:12:48.025289       1 client.go:534] "Exiting proxyToRemote" connectionID=5
E0723 14:12:48.042300       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:37346->10.244.0.5:4443: use of closed network connection" connectionID=6
I0723 14:12:48.042334       1 client.go:492] "Exiting remoteToProxy" connectionID=6
I0723 14:12:48.042379       1 client.go:534] "Exiting proxyToRemote" connectionID=6
E0723 14:14:18.921495       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:38124->10.244.0.4:4443: use of closed network connection" connectionID=7
I0723 14:14:18.921560       1 client.go:492] "Exiting remoteToProxy" connectionID=7
E0723 14:14:18.921698       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:38124->10.244.0.4:4443: use of closed network connection" connectionID=7
I0723 14:14:18.921821       1 client.go:534] "Exiting proxyToRemote" connectionID=7
E0723 14:14:18.952044       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:37356->10.244.0.5:4443: use of closed network connection" connectionID=6
I0723 14:14:18.952326       1 client.go:492] "Exiting remoteToProxy" connectionID=6
I0723 14:14:18.952161       1 client.go:534] "Exiting proxyToRemote" connectionID=6
E0723 14:15:19.022970       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:37648->10.244.0.5:4443: use of closed network connection" connectionID=6
E0723 14:15:19.023008       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:37648->10.244.0.5:4443: use of closed network connection" connectionID=6
I0723 14:15:19.023035       1 client.go:534] "Exiting proxyToRemote" connectionID=6
I0723 14:15:19.023046       1 client.go:492] "Exiting remoteToProxy" connectionID=6
E0723 14:15:19.025150       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:37650->10.244.0.5:4443: use of closed network connection" connectionID=8
I0723 14:15:19.025209       1 client.go:492] "Exiting remoteToProxy" connectionID=8
E0723 14:15:19.025280       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:37650->10.244.0.5:4443: use of closed network connection" connectionID=8
I0723 14:15:19.025287       1 client.go:534] "Exiting proxyToRemote" connectionID=8
E0723 14:15:19.069622       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:38422->10.244.0.4:4443: use of closed network connection" connectionID=7
E0723 14:15:19.069625       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:38422->10.244.0.4:4443: use of closed network connection" connectionID=7
I0723 14:15:19.069683       1 client.go:492] "Exiting remoteToProxy" connectionID=7
I0723 14:15:19.069704       1 client.go:534] "Exiting proxyToRemote" connectionID=7
E0723 14:16:56.032277       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60288->10.224.0.5:20257: use of closed network connection" connectionID=9
I0723 14:16:56.032330       1 client.go:492] "Exiting remoteToProxy" connectionID=9
I0723 14:16:56.032365       1 client.go:534] "Exiting proxyToRemote" connectionID=9
E0723 14:18:10.266302       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:52680->10.244.0.8:9153: use of closed network connection" connectionID=10
I0723 14:18:10.266580       1 client.go:492] "Exiting remoteToProxy" connectionID=10
I0723 14:18:10.266391       1 client.go:534] "Exiting proxyToRemote" connectionID=10
E0723 14:18:19.119542       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:38720->10.244.0.4:4443: use of closed network connection" connectionID=8
E0723 14:18:19.119562       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:38720->10.244.0.4:4443: use of closed network connection" connectionID=8
I0723 14:18:19.119600       1 client.go:492] "Exiting remoteToProxy" connectionID=8
I0723 14:18:19.119627       1 client.go:534] "Exiting proxyToRemote" connectionID=8
E0723 14:18:19.154489       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:38642->10.244.0.5:4443: use of closed network connection" connectionID=11
I0723 14:18:19.154544       1 client.go:492] "Exiting remoteToProxy" connectionID=11
E0723 14:18:19.154586       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:38642->10.244.0.5:4443: use of closed network connection" connectionID=11
I0723 14:18:19.154596       1 client.go:534] "Exiting proxyToRemote" connectionID=11
E0723 14:18:34.735005       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:37444->10.224.0.6:10249: use of closed network connection" connectionID=12
I0723 14:18:34.735145       1 client.go:492] "Exiting remoteToProxy" connectionID=12
I0723 14:18:34.735071       1 client.go:534] "Exiting proxyToRemote" connectionID=12
E0723 14:19:21.099842       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:47004->10.224.0.6:20257: use of closed network connection" connectionID=8
I0723 14:19:21.100126       1 client.go:492] "Exiting remoteToProxy" connectionID=8
I0723 14:19:21.100171       1 client.go:534] "Exiting proxyToRemote" connectionID=8
E0723 14:19:21.994763       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:43584->10.244.1.4:9153: use of closed network connection" connectionID=13
I0723 14:19:21.995227       1 client.go:492] "Exiting remoteToProxy" connectionID=13
I0723 14:19:21.995207       1 client.go:534] "Exiting proxyToRemote" connectionID=13
E0723 14:20:19.176501       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:39376->10.244.0.5:4443: use of closed network connection" connectionID=7
E0723 14:20:19.176501       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:39376->10.244.0.5:4443: use of closed network connection" connectionID=7
I0723 14:20:19.176569       1 client.go:492] "Exiting remoteToProxy" connectionID=7
I0723 14:20:19.176592       1 client.go:534] "Exiting proxyToRemote" connectionID=7
E0723 14:21:03.622408       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:47460->10.224.0.4:10249: use of closed network connection" connectionID=15
I0723 14:21:03.622488       1 client.go:492] "Exiting remoteToProxy" connectionID=15
I0723 14:21:03.622520       1 client.go:534] "Exiting proxyToRemote" connectionID=15
E0723 14:21:19.220416       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:40376->10.244.0.4:4443: use of closed network connection" connectionID=14
I0723 14:21:19.220466       1 client.go:492] "Exiting remoteToProxy" connectionID=14
E0723 14:21:19.220505       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:40376->10.244.0.4:4443: use of closed network connection" connectionID=14
I0723 14:21:19.220513       1 client.go:534] "Exiting proxyToRemote" connectionID=14
E0723 14:21:39.352677       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:43882->10.224.0.4:20257: use of closed network connection" connectionID=10
I0723 14:21:39.352779       1 client.go:492] "Exiting remoteToProxy" connectionID=10
I0723 14:21:39.352900       1 client.go:534] "Exiting proxyToRemote" connectionID=10
