E0723 14:28:58.622247       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60834->10.244.1.10:4443: use of closed network connection" connectionID=25
I0723 14:28:58.622286       1 client.go:492] "Exiting remoteToProxy" connectionID=25
E0723 14:28:58.622440       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:60834->10.244.1.10:4443: use of closed network connection" connectionID=25
I0723 14:28:58.622457       1 client.go:534] "Exiting proxyToRemote" connectionID=25
E0723 14:28:58.622779       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60832->10.244.1.10:4443: use of closed network connection" connectionID=24
E0723 14:28:58.623247       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60822->10.244.1.10:4443: use of closed network connection" connectionID=26
I0723 14:28:58.623407       1 client.go:492] "Exiting remoteToProxy" connectionID=26
I0723 14:28:58.623684       1 client.go:534] "Exiting proxyToRemote" connectionID=24
I0723 14:28:58.623742       1 client.go:492] "Exiting remoteToProxy" connectionID=24
I0723 14:28:58.623756       1 client.go:534] "Exiting proxyToRemote" connectionID=26
E0723 14:28:58.630715       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60824->10.244.1.10:4443: use of closed network connection" connectionID=33
I0723 14:28:58.631217       1 client.go:492] "Exiting remoteToProxy" connectionID=33
I0723 14:28:58.631132       1 client.go:534] "Exiting proxyToRemote" connectionID=33
E0723 14:28:58.638974       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60828->10.244.1.10:4443: use of closed network connection" connectionID=25
E0723 14:28:58.639218       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60826->10.244.1.10:4443: use of closed network connection" connectionID=24
I0723 14:28:58.639493       1 client.go:534] "Exiting proxyToRemote" connectionID=25
I0723 14:28:58.639644       1 client.go:492] "Exiting remoteToProxy" connectionID=25
I0723 14:28:58.639770       1 client.go:534] "Exiting proxyToRemote" connectionID=24
I0723 14:28:58.640009       1 client.go:492] "Exiting remoteToProxy" connectionID=24
I0723 14:29:21.927507       1 client.go:534] "Exiting proxyToRemote" connectionID=27
E0723 14:29:21.927437       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:47554->10.244.1.4:9153: use of closed network connection" connectionID=27
I0723 14:29:21.927625       1 client.go:492] "Exiting remoteToProxy" connectionID=27
E0723 14:30:19.426387       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60478->10.244.1.5:4443: use of closed network connection" connectionID=31
I0723 14:30:19.426980       1 client.go:492] "Exiting remoteToProxy" connectionID=31
E0723 14:30:19.427178       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:60478->10.244.1.5:4443: use of closed network connection" connectionID=31
I0723 14:30:19.427328       1 client.go:534] "Exiting proxyToRemote" connectionID=31
E0723 14:30:19.427674       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:60476->10.244.1.5:4443: use of closed network connection" connectionID=19
E0723 14:30:19.427953       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60476->10.244.1.5:4443: use of closed network connection" connectionID=19
I0723 14:30:19.428293       1 client.go:492] "Exiting remoteToProxy" connectionID=19
I0723 14:30:19.428221       1 client.go:534] "Exiting proxyToRemote" connectionID=19
E0723 14:30:19.448321       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60480->10.244.1.5:4443: use of closed network connection" connectionID=23
I0723 14:30:19.448353       1 client.go:492] "Exiting remoteToProxy" connectionID=23
E0723 14:30:19.448384       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:60480->10.244.1.5:4443: use of closed network connection" connectionID=23
I0723 14:30:19.448390       1 client.go:534] "Exiting proxyToRemote" connectionID=23
E0723 14:30:32.992228       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:59988->10.244.1.5:4443: use of closed network connection" connectionID=20
I0723 14:30:32.992630       1 client.go:534] "Exiting proxyToRemote" connectionID=20
E0723 14:30:32.992237       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:59988->10.244.1.5:4443: use of closed network connection" connectionID=20
I0723 14:30:32.992792       1 client.go:492] "Exiting remoteToProxy" connectionID=20
E0723 14:30:33.014438       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:60892->10.244.1.10:4443: use of closed network connection" connectionID=27
E0723 14:30:33.014437       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60892->10.244.1.10:4443: use of closed network connection" connectionID=27
I0723 14:30:33.014608       1 client.go:534] "Exiting proxyToRemote" connectionID=27
I0723 14:30:33.014677       1 client.go:492] "Exiting remoteToProxy" connectionID=27
E0723 14:30:57.480050       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:60908->10.244.1.5:4443: use of closed network connection" connectionID=34
E0723 14:30:57.480370       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60908->10.244.1.5:4443: use of closed network connection" connectionID=34
I0723 14:30:57.480652       1 client.go:534] "Exiting proxyToRemote" connectionID=34
I0723 14:30:57.480919       1 client.go:492] "Exiting remoteToProxy" connectionID=34
I0723 14:31:49.231318       1 client.go:507] "connection EOF" connectionID=20
I0723 14:31:49.231419       1 client.go:492] "Exiting remoteToProxy" connectionID=20
I0723 14:31:49.231435       1 client.go:534] "Exiting proxyToRemote" connectionID=20
E0723 14:33:34.741067       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:44428->10.224.0.6:10249: use of closed network connection" connectionID=27
I0723 14:33:34.741111       1 client.go:492] "Exiting remoteToProxy" connectionID=27
I0723 14:33:34.741140       1 client.go:534] "Exiting proxyToRemote" connectionID=27
E0723 14:34:19.503835       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:35018->10.244.1.10:4443: use of closed network connection" connectionID=21
I0723 14:34:19.503958       1 client.go:534] "Exiting proxyToRemote" connectionID=21
E0723 14:34:19.503845       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:35018->10.244.1.10:4443: use of closed network connection" connectionID=21
I0723 14:34:19.504037       1 client.go:492] "Exiting remoteToProxy" connectionID=21
E0723 14:34:21.098447       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:54180->10.224.0.6:20257: use of closed network connection" connectionID=28
I0723 14:34:21.098555       1 client.go:492] "Exiting remoteToProxy" connectionID=28
I0723 14:34:21.098628       1 client.go:534] "Exiting proxyToRemote" connectionID=28
E0723 14:34:33.498447       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:36094->10.244.1.10:4443: use of closed network connection" connectionID=34
E0723 14:34:33.498791       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:36094->10.244.1.10:4443: use of closed network connection" connectionID=34
I0723 14:34:33.498996       1 client.go:534] "Exiting proxyToRemote" connectionID=34
I0723 14:34:33.499025       1 client.go:492] "Exiting remoteToProxy" connectionID=34
E0723 14:35:19.526315       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:35402->10.244.1.5:4443: use of closed network connection" connectionID=22
E0723 14:35:19.526314       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:35402->10.244.1.5:4443: use of closed network connection" connectionID=22
I0723 14:35:19.526357       1 client.go:492] "Exiting remoteToProxy" connectionID=22
I0723 14:35:19.526369       1 client.go:534] "Exiting proxyToRemote" connectionID=22
E0723 14:35:19.529161       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:35400->10.244.1.5:4443: use of closed network connection" connectionID=29
I0723 14:35:19.529188       1 client.go:492] "Exiting remoteToProxy" connectionID=29
E0723 14:35:19.529208       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:35400->10.244.1.5:4443: use of closed network connection" connectionID=29
I0723 14:35:19.529214       1 client.go:534] "Exiting proxyToRemote" connectionID=29
E0723 14:35:33.437269       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60988->10.244.1.5:4443: use of closed network connection" connectionID=29
I0723 14:35:33.438301       1 client.go:534] "Exiting proxyToRemote" connectionID=29
I0723 14:35:33.438311       1 client.go:492] "Exiting remoteToProxy" connectionID=29
E0723 14:36:19.547335       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:36016->10.244.1.5:4443: use of closed network connection" connectionID=23
E0723 14:36:19.547349       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:36016->10.244.1.5:4443: use of closed network connection" connectionID=23
I0723 14:36:19.547380       1 client.go:534] "Exiting proxyToRemote" connectionID=23
I0723 14:36:19.547390       1 client.go:492] "Exiting remoteToProxy" connectionID=23
E0723 14:36:19.563125       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:36248->10.244.1.10:4443: use of closed network connection" connectionID=30
I0723 14:36:19.563156       1 client.go:492] "Exiting remoteToProxy" connectionID=30
E0723 14:36:19.563190       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:36248->10.244.1.10:4443: use of closed network connection" connectionID=30
I0723 14:36:19.563196       1 client.go:534] "Exiting proxyToRemote" connectionID=30
E0723 14:37:35.562879       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:34424->10.244.1.7:9153: use of closed network connection" connectionID=31
I0723 14:37:35.563139       1 client.go:492] "Exiting remoteToProxy" connectionID=31
I0723 14:37:35.563247       1 client.go:534] "Exiting proxyToRemote" connectionID=31
E0723 14:38:19.565499       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:36014->10.244.1.5:4443: use of closed network connection" connectionID=35
I0723 14:38:19.565560       1 client.go:492] "Exiting remoteToProxy" connectionID=35
E0723 14:38:19.565608       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:36014->10.244.1.5:4443: use of closed network connection" connectionID=35
I0723 14:38:19.565630       1 client.go:534] "Exiting proxyToRemote" connectionID=35
E0723 14:38:19.593399       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:37256->10.244.1.5:4443: use of closed network connection" connectionID=24
E0723 14:38:19.593400       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:37256->10.244.1.5:4443: use of closed network connection" connectionID=24
I0723 14:38:19.593479       1 client.go:492] "Exiting remoteToProxy" connectionID=24
I0723 14:38:19.593493       1 client.go:534] "Exiting proxyToRemote" connectionID=24
E0723 14:38:34.782940       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:47528->10.224.0.6:10249: use of closed network connection" connectionID=32
I0723 14:38:34.783278       1 client.go:534] "Exiting proxyToRemote" connectionID=32
I0723 14:38:34.783428       1 client.go:492] "Exiting remoteToProxy" connectionID=32
I0723 14:38:43.526826       1 client.go:507] "connection EOF" connectionID=33
I0723 14:38:43.527064       1 client.go:492] "Exiting remoteToProxy" connectionID=33
I0723 14:38:43.527089       1 client.go:534] "Exiting proxyToRemote" connectionID=33
E0723 14:39:19.600602       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:38112->10.244.1.10:4443: use of closed network connection" connectionID=36
I0723 14:39:19.600640       1 client.go:492] "Exiting remoteToProxy" connectionID=36
E0723 14:39:19.600668       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:38112->10.244.1.10:4443: use of closed network connection" connectionID=36
I0723 14:39:19.600675       1 client.go:534] "Exiting proxyToRemote" connectionID=36
E0723 14:39:21.972718       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:53862->10.244.1.4:9153: use of closed network connection" connectionID=36
I0723 14:39:21.973126       1 client.go:492] "Exiting remoteToProxy" connectionID=36
I0723 14:39:21.973224       1 client.go:534] "Exiting proxyToRemote" connectionID=36
E0723 14:40:13.560668       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:47256->10.224.0.6:10256: use of closed network connection" connectionID=34
I0723 14:40:13.561020       1 client.go:492] "Exiting remoteToProxy" connectionID=34
I0723 14:40:13.561073       1 client.go:534] "Exiting proxyToRemote" connectionID=34
E0723 14:40:19.621046       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:38114->10.244.1.10:4443: use of closed network connection" connectionID=25
I0723 14:40:19.621202       1 client.go:492] "Exiting remoteToProxy" connectionID=25
E0723 14:40:19.621271       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:38114->10.244.1.10:4443: use of closed network connection" connectionID=25
I0723 14:40:19.621300       1 client.go:534] "Exiting proxyToRemote" connectionID=25
E0723 14:40:19.628436       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:38508->10.244.1.5:4443: use of closed network connection" connectionID=37
I0723 14:40:19.628828       1 client.go:492] "Exiting remoteToProxy" connectionID=37
E0723 14:40:19.628748       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:38508->10.244.1.5:4443: use of closed network connection" connectionID=37
I0723 14:40:19.629063       1 client.go:534] "Exiting proxyToRemote" connectionID=37
I0723 14:40:19.670041       1 client.go:507] "connection EOF" connectionID=35
I0723 14:40:19.670180       1 client.go:492] "Exiting remoteToProxy" connectionID=35
I0723 14:40:19.670198       1 client.go:534] "Exiting proxyToRemote" connectionID=35
E0723 14:40:33.848321       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:36482->10.244.1.5:4443: use of closed network connection" connectionID=35
I0723 14:40:33.848648       1 client.go:534] "Exiting proxyToRemote" connectionID=35
E0723 14:40:33.848342       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:36482->10.244.1.5:4443: use of closed network connection" connectionID=35
I0723 14:40:33.849068       1 client.go:492] "Exiting remoteToProxy" connectionID=35
E0723 14:41:19.675436       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:39302->10.244.1.10:4443: use of closed network connection" connectionID=36
I0723 14:41:19.675743       1 client.go:534] "Exiting proxyToRemote" connectionID=36
E0723 14:41:19.675439       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:39302->10.244.1.10:4443: use of closed network connection" connectionID=36
I0723 14:41:19.675905       1 client.go:492] "Exiting remoteToProxy" connectionID=36
I0723 14:42:35.560498       1 client.go:534] "Exiting proxyToRemote" connectionID=37
E0723 14:42:35.560291       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:37540->10.244.1.7:9153: use of closed network connection" connectionID=37
I0723 14:42:35.560649       1 client.go:492] "Exiting remoteToProxy" connectionID=37
E0723 14:43:19.662125       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:39176->10.244.1.10:4443: use of closed network connection" connectionID=26
I0723 14:43:19.662524       1 client.go:534] "Exiting proxyToRemote" connectionID=26
E0723 14:43:19.662145       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:39176->10.244.1.10:4443: use of closed network connection" connectionID=26
I0723 14:43:19.662771       1 client.go:492] "Exiting remoteToProxy" connectionID=26
E0723 14:43:19.694178       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:40376->10.244.1.5:4443: use of closed network connection" connectionID=38
I0723 14:43:19.694212       1 client.go:492] "Exiting remoteToProxy" connectionID=38
E0723 14:43:19.694239       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:40376->10.244.1.5:4443: use of closed network connection" connectionID=38
I0723 14:43:19.694246       1 client.go:534] "Exiting proxyToRemote" connectionID=38
I0723 14:43:34.783048       1 client.go:534] "Exiting proxyToRemote" connectionID=38
E0723 14:43:34.783003       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:50634->10.224.0.6:10249: use of closed network connection" connectionID=38
I0723 14:43:34.783146       1 client.go:492] "Exiting remoteToProxy" connectionID=38
E0723 14:44:19.720484       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:41230->10.244.1.10:4443: use of closed network connection" connectionID=39
E0723 14:44:19.720496       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:41230->10.244.1.10:4443: use of closed network connection" connectionID=39
I0723 14:44:19.720519       1 client.go:492] "Exiting remoteToProxy" connectionID=39
I0723 14:44:19.720532       1 client.go:534] "Exiting proxyToRemote" connectionID=39
E0723 14:44:21.975948       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:56972->10.244.1.4:9153: use of closed network connection" connectionID=28
I0723 14:44:21.976024       1 client.go:492] "Exiting remoteToProxy" connectionID=28
I0723 14:44:21.976053       1 client.go:534] "Exiting proxyToRemote" connectionID=28
E0723 14:45:19.702767       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:40998->10.244.1.5:4443: use of closed network connection" connectionID=27
I0723 14:45:19.702811       1 client.go:492] "Exiting remoteToProxy" connectionID=27
E0723 14:45:19.702852       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:40998->10.244.1.5:4443: use of closed network connection" connectionID=27
I0723 14:45:19.702861       1 client.go:534] "Exiting proxyToRemote" connectionID=27
E0723 14:45:34.301949       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:39134->10.244.1.5:4443: use of closed network connection" connectionID=37
I0723 14:45:34.302180       1 client.go:534] "Exiting proxyToRemote" connectionID=37
E0723 14:45:34.302228       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:39134->10.244.1.5:4443: use of closed network connection" connectionID=37
I0723 14:45:34.302284       1 client.go:492] "Exiting remoteToProxy" connectionID=37
E0723 14:46:19.736840       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42458->10.244.1.10:4443: use of closed network connection" connectionID=29
I0723 14:46:19.736879       1 client.go:492] "Exiting remoteToProxy" connectionID=29
E0723 14:46:19.736915       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:42458->10.244.1.10:4443: use of closed network connection" connectionID=29
I0723 14:46:19.736923       1 client.go:534] "Exiting proxyToRemote" connectionID=29
E0723 14:47:05.952584       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:51522->10.224.0.6:10256: use of closed network connection" connectionID=39
I0723 14:47:05.952663       1 client.go:492] "Exiting remoteToProxy" connectionID=39
I0723 14:47:05.952708       1 client.go:534] "Exiting proxyToRemote" connectionID=39
E0723 14:48:19.804509       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42856->10.244.1.5:4443: use of closed network connection" connectionID=40
I0723 14:48:19.804549       1 client.go:492] "Exiting remoteToProxy" connectionID=40
E0723 14:48:19.804518       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:42856->10.244.1.5:4443: use of closed network connection" connectionID=40
I0723 14:48:19.804630       1 client.go:534] "Exiting proxyToRemote" connectionID=40
E0723 14:50:19.833902       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:44328->10.244.1.10:4443: use of closed network connection" connectionID=41
I0723 14:50:19.834235       1 client.go:492] "Exiting remoteToProxy" connectionID=41
E0723 14:50:19.834101       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:44328->10.244.1.10:4443: use of closed network connection" connectionID=41
I0723 14:50:19.834315       1 client.go:534] "Exiting proxyToRemote" connectionID=41
E0723 14:50:19.866033       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:44948->10.244.1.10:4443: use of closed network connection" connectionID=40
I0723 14:50:19.866152       1 client.go:492] "Exiting remoteToProxy" connectionID=40
E0723 14:50:19.866033       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:44948->10.244.1.10:4443: use of closed network connection" connectionID=40
I0723 14:50:19.866262       1 client.go:534] "Exiting proxyToRemote" connectionID=40
E0723 14:50:34.721288       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:42310->10.244.1.10:4443: use of closed network connection" connectionID=38
I0723 14:50:34.721724       1 client.go:492] "Exiting remoteToProxy" connectionID=38
E0723 14:50:34.721975       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:42310->10.244.1.10:4443: use of closed network connection" connectionID=38
I0723 14:50:34.722128       1 client.go:534] "Exiting proxyToRemote" connectionID=38
I0723 14:52:19.872766       1 client.go:507] "connection EOF" connectionID=30
I0723 14:52:19.872974       1 client.go:492] "Exiting remoteToProxy" connectionID=30
I0723 14:52:19.873033       1 client.go:534] "Exiting proxyToRemote" connectionID=30
E0723 14:52:19.900808       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:45948->10.244.1.5:4443: use of closed network connection" connectionID=41
I0723 14:52:19.901033       1 client.go:492] "Exiting remoteToProxy" connectionID=41
E0723 14:52:19.901076       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:45948->10.244.1.5:4443: use of closed network connection" connectionID=41
I0723 14:52:19.901084       1 client.go:534] "Exiting proxyToRemote" connectionID=41
I0723 14:52:35.552868       1 client.go:534] "Exiting proxyToRemote" connectionID=42
E0723 14:52:35.553221       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:43724->10.244.1.7:9153: use of closed network connection" connectionID=42
I0723 14:52:35.553336       1 client.go:492] "Exiting remoteToProxy" connectionID=42
E0723 14:53:34.777019       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:56838->10.224.0.6:10249: use of closed network connection" connectionID=41
I0723 14:53:34.777065       1 client.go:492] "Exiting remoteToProxy" connectionID=41
I0723 14:53:34.777095       1 client.go:534] "Exiting proxyToRemote" connectionID=41
E0723 14:54:19.917165       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:47206->10.244.1.5:4443: use of closed network connection" connectionID=31
E0723 14:54:19.917181       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:47206->10.244.1.5:4443: use of closed network connection" connectionID=31
I0723 14:54:19.917645       1 client.go:534] "Exiting proxyToRemote" connectionID=31
I0723 14:54:19.917876       1 client.go:492] "Exiting remoteToProxy" connectionID=31
E0723 14:54:21.078350       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:38366->10.224.0.6:20257: use of closed network connection" connectionID=42
I0723 14:54:21.078417       1 client.go:492] "Exiting remoteToProxy" connectionID=42
I0723 14:54:21.078466       1 client.go:534] "Exiting proxyToRemote" connectionID=42
E0723 14:55:19.926644       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:45172->10.244.1.5:4443: use of closed network connection" connectionID=39
I0723 14:55:19.926995       1 client.go:534] "Exiting proxyToRemote" connectionID=39
E0723 14:55:19.926657       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:45172->10.244.1.5:4443: use of closed network connection" connectionID=39
I0723 14:55:19.927074       1 client.go:492] "Exiting remoteToProxy" connectionID=39
E0723 14:55:35.046736       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:45418->10.244.1.10:4443: use of closed network connection" connectionID=40
I0723 14:55:35.046784       1 client.go:492] "Exiting remoteToProxy" connectionID=40
E0723 14:55:35.046814       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:45418->10.244.1.10:4443: use of closed network connection" connectionID=40
I0723 14:55:35.046828       1 client.go:534] "Exiting proxyToRemote" connectionID=40
E0723 14:56:19.969187       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:48510->10.244.1.5:4443: use of closed network connection" connectionID=43
I0723 14:56:19.969554       1 client.go:534] "Exiting proxyToRemote" connectionID=43
E0723 14:56:19.969216       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:48510->10.244.1.5:4443: use of closed network connection" connectionID=43
I0723 14:56:19.969822       1 client.go:492] "Exiting remoteToProxy" connectionID=43
E0723 14:56:19.970307       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:48508->10.244.1.5:4443: use of closed network connection" connectionID=42
I0723 14:56:19.970564       1 client.go:534] "Exiting proxyToRemote" connectionID=42
E0723 14:56:19.970329       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:48508->10.244.1.5:4443: use of closed network connection" connectionID=42
I0723 14:56:19.970903       1 client.go:492] "Exiting remoteToProxy" connectionID=42
E0723 14:57:19.986922       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:48504->10.244.1.5:4443: use of closed network connection" connectionID=32
E0723 14:57:19.986935       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:48504->10.244.1.5:4443: use of closed network connection" connectionID=32
I0723 14:57:19.987032       1 client.go:492] "Exiting remoteToProxy" connectionID=32
I0723 14:57:19.987616       1 client.go:534] "Exiting proxyToRemote" connectionID=32
E0723 14:58:20.008725       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:49980->10.244.1.10:4443: use of closed network connection" connectionID=33
E0723 14:58:20.008758       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:49980->10.244.1.10:4443: use of closed network connection" connectionID=33
I0723 14:58:20.008811       1 client.go:534] "Exiting proxyToRemote" connectionID=33
I0723 14:58:20.008828       1 client.go:492] "Exiting remoteToProxy" connectionID=33
E0723 14:58:34.802845       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60012->10.224.0.6:10249: use of closed network connection" connectionID=44
I0723 14:58:34.803305       1 client.go:492] "Exiting remoteToProxy" connectionID=44
I0723 14:58:34.803438       1 client.go:534] "Exiting proxyToRemote" connectionID=44
I0723 14:59:20.038231       1 client.go:534] "Exiting proxyToRemote" connectionID=34
E0723 14:59:20.038159       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:50378->10.244.1.5:4443: use of closed network connection" connectionID=34
I0723 14:59:20.038623       1 client.go:492] "Exiting remoteToProxy" connectionID=34
E0723 14:59:20.052959       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:50380->10.244.1.5:4443: use of closed network connection" connectionID=43
I0723 14:59:20.053249       1 client.go:534] "Exiting proxyToRemote" connectionID=43
E0723 14:59:20.052967       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:50380->10.244.1.5:4443: use of closed network connection" connectionID=43
I0723 14:59:20.053272       1 client.go:492] "Exiting remoteToProxy" connectionID=43
E0723 14:59:21.986109       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:38124->10.244.1.4:9153: use of closed network connection" connectionID=44
I0723 14:59:21.986166       1 client.go:492] "Exiting remoteToProxy" connectionID=44
I0723 14:59:21.986188       1 client.go:534] "Exiting proxyToRemote" connectionID=44
I0723 14:59:25.121450       1 client.go:507] "connection EOF" connectionID=46
I0723 14:59:25.121703       1 client.go:492] "Exiting remoteToProxy" connectionID=46
I0723 14:59:25.121735       1 client.go:534] "Exiting proxyToRemote" connectionID=46
I0723 15:00:55.146780       1 client.go:534] "Exiting proxyToRemote" connectionID=47
E0723 15:00:55.146962       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:60176->10.224.0.6:10256: use of closed network connection" connectionID=47
I0723 15:00:55.147138       1 client.go:492] "Exiting remoteToProxy" connectionID=47
E0723 15:00:58.363602       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:51230->10.244.1.10:4443: use of closed network connection" connectionID=45
E0723 15:00:58.363686       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:51230->10.244.1.10:4443: use of closed network connection" connectionID=45
I0723 15:00:58.363824       1 client.go:534] "Exiting proxyToRemote" connectionID=45
I0723 15:00:58.363748       1 client.go:492] "Exiting remoteToProxy" connectionID=45
E0723 15:01:10.368292       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:51772->10.244.1.10:4443: use of closed network connection" connectionID=35
I0723 15:01:10.368536       1 client.go:534] "Exiting proxyToRemote" connectionID=35
E0723 15:01:10.368342       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:51772->10.244.1.10:4443: use of closed network connection" connectionID=35
I0723 15:01:10.368928       1 client.go:492] "Exiting remoteToProxy" connectionID=35
E0723 15:01:26.049160       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:51568->10.244.1.5:4443: use of closed network connection" connectionID=48
I0723 15:01:26.049525       1 client.go:492] "Exiting remoteToProxy" connectionID=48
E0723 15:01:26.049965       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:51568->10.244.1.5:4443: use of closed network connection" connectionID=48
I0723 15:01:26.050263       1 client.go:534] "Exiting proxyToRemote" connectionID=48
E0723 15:03:20.157745       1 client.go:514] "connection read failure" err="read tcp 10.244.1.3:51654->10.244.1.10:4443: use of closed network connection" connectionID=45
E0723 15:03:20.157757       1 client.go:551] "conn write failure" err="write tcp 10.244.1.3:51654->10.244.1.10:4443: use of closed network connection" connectionID=45
I0723 15:03:20.157794       1 client.go:492] "Exiting remoteToProxy" connectionID=45
I0723 15:03:20.157809       1 client.go:534] "Exiting proxyToRemote" connectionID=45
